date,1. open,2. high,3. low,4. close,5. volume
2020-11-19 15:52:00,212.69,212.725,212.47,212.6,76665.0
2020-11-19 15:51:00,212.68,212.98,212.6,212.68,103218.0
2020-11-19 15:50:00,212.745,212.745,212.66,212.67,38540.0
2020-11-19 15:49:00,212.76,212.77,212.6301,212.74,39665.0
2020-11-19 15:48:00,212.87,212.8772,212.69,212.79,47446.0
2020-11-19 15:47:00,212.89,212.93,212.82,212.865,32692.0
2020-11-19 15:46:00,212.75,212.89,212.65,212.885,56235.0
2020-11-19 15:45:00,212.815,212.8173,212.74,212.74,46842.0
2020-11-19 15:44:00,212.965,212.98,212.8001,212.82,42100.0
2020-11-19 15:43:00,212.87,212.96,212.84,212.96,48377.0
2020-11-19 15:42:00,212.79,212.901,212.78,212.87,33064.0
2020-11-19 15:41:00,212.905,212.92,212.7,212.79,75391.0
2020-11-19 15:40:00,212.82,212.91,212.815,212.905,32968.0
2020-11-19 15:39:00,212.78,212.85,212.74,212.82,29627.0
2020-11-19 15:38:00,212.825,212.85,212.7129,212.79,31168.0
2020-11-19 15:37:00,212.915,212.93,212.79,212.81,45531.0
2020-11-19 15:36:00,212.6,213.03,212.56,212.91,125760.0
2020-11-19 15:35:00,212.36,212.62,212.34,212.6,55737.0
2020-11-19 15:34:00,212.38,212.45,212.28,212.36,67225.0
2020-11-19 15:33:00,212.46,212.48,212.3721,212.39,42663.0
2020-11-19 15:32:00,212.52,212.58,212.46,212.47,50478.0
2020-11-19 15:31:00,212.6,212.63,212.49,212.53,51024.0
2020-11-19 15:30:00,212.57,212.62,212.51,212.6,41042.0
2020-11-19 15:29:00,212.51,212.6,212.46,212.57,42852.0
